column_name,business_meaning,raw_dtype,expected_dtype,unit,allowed_values,missing_meaning,cleaning_rule,quality_risk,owner
analysis_month,Parsed listing month used for the project analysis window.,N/A (derived),Date,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
title_normalized,Canonical M2 derived field: title_normalized.,N/A (derived),String,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
description_normalized,Canonical M2 derived field: description_normalized.,N/A (derived),String,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
property_family,Shared canonical property family derived from cat3_slug.,N/A (derived),String,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
building_size_sqm,Canonical M2 derived field: building_size_sqm.,N/A (derived),Float64,sqm,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
land_size_sqm,Canonical M2 derived field: land_size_sqm.,N/A (derived),Float64,sqm,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
latitude,Canonical M2 derived field: latitude.,N/A (derived),Float64,decimal_degree,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
longitude,Canonical M2 derived field: longitude.,N/A (derived),Float64,decimal_degree,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
location_radius_m,Canonical M2 derived field: location_radius_m.,N/A (derived),Float64,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
regular_person_capacity_num,Canonical M2 derived field: regular_person_capacity_num.,N/A (derived),Int16,count,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
extra_person_capacity_num,Canonical M2 derived field: extra_person_capacity_num.,N/A (derived),Int16,count,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
rooms_count_num,Canonical M2 derived field: rooms_count_num.,N/A (derived),Int8,count,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
construction_year_jalali,Canonical M2 derived field: construction_year_jalali.,N/A (derived),Int16,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
building_age_years,Canonical M2 derived field: building_age_years.,N/A (derived),Int16,year,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
floor_num,Canonical M2 derived field: floor_num.,N/A (derived),Int16,count,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
total_floors_count_num,Canonical M2 derived field: total_floors_count_num.,N/A (derived),Int16,count,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
unit_per_floor_num,Canonical M2 derived field: unit_per_floor_num.,N/A (derived),Int16,count,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
rooms_count_censored_flag,"Boolean quality, review, censoring, or analytical-eligibility indicator: rooms_count_censored_flag.",N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
construction_year_before_1370_flag,"Boolean quality, review, censoring, or analytical-eligibility indicator: construction_year_before_1370_flag.",N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
construction_year_numeric_invalid_flag,"Boolean quality, review, censoring, or analytical-eligibility indicator: construction_year_numeric_invalid_flag.",N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
floor_censored_flag,"Boolean quality, review, censoring, or analytical-eligibility indicator: floor_censored_flag.",N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
total_floors_count_censored_flag,"Boolean quality, review, censoring, or analytical-eligibility indicator: total_floors_count_censored_flag.",N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
total_floors_count_unselected_flag,"Boolean quality, review, censoring, or analytical-eligibility indicator: total_floors_count_unselected_flag.",N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
unit_per_floor_censored_flag,"Boolean quality, review, censoring, or analytical-eligibility indicator: unit_per_floor_censored_flag.",N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
unit_per_floor_unselected_flag,"Boolean quality, review, censoring, or analytical-eligibility indicator: unit_per_floor_unselected_flag.",N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
has_balcony_unselected_flag,"Boolean quality, review, censoring, or analytical-eligibility indicator: has_balcony_unselected_flag.",N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
price_value_toman,Canonical/typed monetary field price_value_toman in the project's assumed toman unit.,N/A (derived),Int64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
credit_value_toman,Canonical/typed monetary field credit_value_toman in the project's assumed toman unit.,N/A (derived),Int64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
rent_value_toman,Canonical/typed monetary field rent_value_toman in the project's assumed toman unit.,N/A (derived),Int64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
transformable_credit_toman,Canonical/typed monetary field transformable_credit_toman in the project's assumed toman unit.,N/A (derived),Int64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
transformed_credit_toman,Canonical/typed monetary field transformed_credit_toman in the project's assumed toman unit.,N/A (derived),Int64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
transformable_rent_toman,Canonical/typed monetary field transformable_rent_toman in the project's assumed toman unit.,N/A (derived),Int64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
transformed_rent_toman,Canonical/typed monetary field transformed_rent_toman in the project's assumed toman unit.,N/A (derived),Int64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
cost_per_extra_person_toman,Canonical/typed monetary field cost_per_extra_person_toman in the project's assumed toman unit.,N/A (derived),Int64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
rent_price_on_regular_days_toman,Canonical/typed monetary field rent_price_on_regular_days_toman in the project's assumed toman unit.,N/A (derived),Int64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
rent_price_at_weekends_toman,Canonical/typed monetary field rent_price_at_weekends_toman in the project's assumed toman unit.,N/A (derived),Int64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
rent_price_on_special_days_toman,Canonical/typed monetary field rent_price_on_special_days_toman in the project's assumed toman unit.,N/A (derived),Int64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
rent_to_single_bool,Typed Boolean interpretation of Raw field rent_to_single; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
transformable_price_bool,Typed Boolean interpretation of Raw field transformable_price; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
rent_credit_transform_bool,Typed Boolean interpretation of Raw field rent_credit_transform; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
has_business_deed_bool,Typed Boolean interpretation of Raw field has_business_deed; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
has_elevator_bool,Typed Boolean interpretation of Raw field has_elevator; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
has_warehouse_bool,Typed Boolean interpretation of Raw field has_warehouse; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
has_parking_bool,Typed Boolean interpretation of Raw field has_parking; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
is_rebuilt_bool,Typed Boolean interpretation of Raw field is_rebuilt; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
has_water_bool,Typed Boolean interpretation of Raw field has_water; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
has_electricity_bool,Typed Boolean interpretation of Raw field has_electricity; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
has_gas_bool,Typed Boolean interpretation of Raw field has_gas; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
has_security_guard_bool,Typed Boolean interpretation of Raw field has_security_guard; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
has_barbecue_bool,Typed Boolean interpretation of Raw field has_barbecue; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
has_pool_bool,Typed Boolean interpretation of Raw field has_pool; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
has_jacuzzi_bool,Typed Boolean interpretation of Raw field has_jacuzzi; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
has_sauna_bool,Typed Boolean interpretation of Raw field has_sauna; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
has_balcony_bool,Typed Boolean interpretation of Raw field has_balcony; unknown is preserved as null.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
type_parse_error_count,Canonical M2 derived field: type_parse_error_count.,N/A (derived),UInt16,count,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
is_core_analysis_period,Canonical M2 derived field: is_core_analysis_period.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
is_sale,Canonical M2 derived field: is_sale.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
is_long_term_rent,Canonical M2 derived field: is_long_term_rent.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
is_temporary_rent,Canonical M2 derived field: is_temporary_rent.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
market_regime,Canonical M2 derived field: market_regime.,N/A (derived),String,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
coordinate_pair_present,Canonical M2 derived field: coordinate_pair_present.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
coordinate_partial_flag,"Boolean quality, review, censoring, or analytical-eligibility indicator: coordinate_partial_flag.",N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
geo_country_valid,Canonical M2 derived field: geo_country_valid.,N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
area_basis,Canonical M2 derived field: area_basis.,N/A (derived),String,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
primary_area_sqm,Canonical denominator area used only for compatible property categories.,N/A (derived),Float64,sqm,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
sale_price_status,Canonical M2 derived field: sale_price_status.,N/A (derived),String,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
sale_price_clean_toman,Canonical/typed monetary field sale_price_clean_toman in the project's assumed toman unit.,N/A (derived),Int64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
rent_component_status,Canonical M2 derived field: rent_component_status.,N/A (derived),String,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
credit_component_status,Canonical M2 derived field: credit_component_status.,N/A (derived),String,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
long_term_rent_regime,Canonical M2 derived field: long_term_rent_regime.,N/A (derived),String,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
price_per_sqm_raw_toman,Canonical/typed monetary field price_per_sqm_raw_toman in the project's assumed toman unit.,N/A (derived),Float64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
monthly_rent_clean_toman,Canonical/typed monetary field monthly_rent_clean_toman in the project's assumed toman unit.,N/A (derived),Int64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
deposit_clean_toman,Canonical/typed monetary field deposit_clean_toman in the project's assumed toman unit.,N/A (derived),Int64,toman,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
price_regime,Canonical sale/rent/service price-regime classification.,N/A (derived),String,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
price_regime_rule_id,Canonical M2 derived field: price_regime_rule_id.,N/A (derived),String,none,documented by source/domain rule; null when unavailable or not applicable,"Null means unavailable, unknown, invalid for the metric, or not applicable under the field contract.",Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
price_regime_conflict_flag,"Boolean quality, review, censoring, or analytical-eligibility indicator: price_regime_conflict_flag.",N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
price_regime_review_flag,"Boolean quality, review, censoring, or analytical-eligibility indicator: price_regime_review_flag.",N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
price_regime_unclassified_flag,"Boolean quality, review, censoring, or analytical-eligibility indicator: price_regime_unclassified_flag.",N/A (derived),Boolean,none,true | false,Should not be missing after the M2 canonical transformation; missing indicates a pipeline issue.,Created by the canonical Milestone 2 module responsible for this field; Raw source values remain preserved separately.,Interpret only within its documented applicability and rule version; do not treat null as zero/False unless explicitly defined.,Milestone 2
